Criteria,n,Low var,,,,High var,,
,,<,=,>,,<,=,>
Best,10,0.0,100.0,0.0,,0.0,100.0,0.0
,15,0.0,100.0,0.0,,0.0,100.0,0.0
,20,0.0,100.0,0.0,,1.0,99.0,0.0
,25,0.2,99.8,0.0,,2.3,97.4,0.3
,30,0.4,99.6,0.0,,4.3,95.5,0.3
,40,1.6,98.4,0.0,,11.0,88.0,1.0
,50,4.5,95.5,0.0,,18.0,79.5,2.5
,75,12.1,87.9,0.0,,30.2,67.7,2.2
,100,16.5,83.5,0.0,,37.1,61.3,1.7
Avg,10,0.5,99.5,0.0,,1.3,98.7,0.1
,15,5.9,94.1,0.0,,11.9,86.3,1.8
,20,14.1,85.8,0.1,,24.1,72.1,3.8
,25,18.8,81.0,0.2,,34.1,62.4,3.5
,30,21.8,77.8,0.3,,40.0,57.0,3.0
,40,24.8,74.5,0.7,,44.0,51.1,4.9
,50,25.3,72.6,2.1,,46.0,47.8,6.3
,75,24.3,68.9,6.8,,44.5,44.7,10.8
,100,24.1,67.6,8.3,,47.9,39.5,12.6
Worst,10,0.8,99.2,0.0,,1.8,98.1,0.1
,15,6.8,93.1,0.1,,12.8,85.1,1.8
,20,14.8,85.0,0.3,,23.6,72.3,4.1
,25,20.0,79.8,0.3,,34.0,62.5,3.5
,30,23.9,75.7,0.4,,40.3,56.2,3.6
,40,26.6,72.5,0.9,,44.1,49.4,6.5
,50,27.4,70.3,2.3,,47.0,45.7,7.3
,75,26.4,66.1,7.5,,46.5,40.8,12.8
,100,26.2,63.3,10.5,,48.3,36.0,15.7
